ccn,hospital_name,hospital_address_1,hospital_address_2,hospital_city,hospital_state,hospital_zip,hospital_phone,resp_agree_to_committee,resp_agree_to_limits,resp_agree_to_metrics,resp_agree_to_process,resp_can_provide,resp_min_response_times,resp_min_visit_freq,resp_provided_25,additional_information,assignee,attesting_email,attesting_name,attesting_telephone,attesting_title,ij_review,issue_type,reporter,summary,poc_email,poc_name,poc_telephone
380103,Kaiser Foundation Westside,2875 NE Stucki,,Hillsboro,OR,97124,503-813-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,Adam.M.VanDenAvyle@kp.org,Adam VanDenAvyle,503-571-0413,Hospital Administrator,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 380103: Acute Hospital Care at Home Waiver Request,Jennifer.l.thornburgh@kp.org,Jennifer Thornburgh,503-314-1387
380091,Kaiser Sunnyside Medical Center,10180 SE Sunnyside Road,,Clackamas,OR,97015,503-813-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,Adam.M.VanDenAvyle@kp.org,Adam VanDenAvyle,5035710413,Hospital Administrator,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 380091: Acute Hospital Care at Home Waiver Request,jennifer.l.thornburgh@Kp.org,Jennifer Thornburgh,503-314-1387
340113,Carolinas Medical Center,1000 Blythe Blvd,,Charlotte,NC,28203,7043552000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Our adult team has been running a hospital at home service for quite some time now, and we are working to use their program on the children's hospital side to start a pediatric hospital at home program. Though we have a small number of medicare patients, we will be working with state medicaid to try and get reimbursement for the majority of our patients who fall in this category.",Eric03101,charles.williams@atriumhealth.org,Charles Williams,704-618-4918,Medical Director Pediatric Virtual Care,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340113: Acute Hospital Care at Home Waiver Request,charles.williams@atriumhealth.org,Charles Williams,7046184918
360137,University Hospitals Cleveland Medical Center,11100 Euclid Ave.,,Cleveland,OH,44106,216-844-3722,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,Peter.Pronovost@UHhospitals.org,Peter Pronovost,216-767-8184,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 360137: Acute Hospital Care at Home Waiver Request,jillian.lavender@uhhospitals.org,Jillian Lavender,216-286-1739
370020,Mercy Hospital Ada,430 N. Monte Vista Street,,Ada,OK,74820,580-421-1412,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 370020: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948
260052,Mercy Hospital Washington,901 E. 5th Street,,Washington,MO,63090,636-528-3329,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260052: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948
260023,Mercy Hospital Jefferson,Highway 61 South,PO Box 350,Crystal City,MO,63019,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260023: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948
260059,Mercy Hospital Lebanon,100 Hospital Drive,,Lebanon,MO,65536,417-533-6100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260059: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948
370013,Mercy Hospital Oklahoma City,4300 West Memorial Road,,Oklahoma City,OK,73120,405-752-3495,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 370013: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948
370049,Mercy Hospital Ardmore,1011 14th Avenue N.W.,,Ardmore,OK,73401,580-220-6620,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 370049: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948
