ccn,hospital_name,created,status,measure_from_date,measure_to_date,m_1a,m_1b,m_1c,m_2a,m_2b,m_2c,m_3a,m_3b,m_3c,m_4
100177,Cape Canaveral Hospital,2023-09-14 10:44:00,Measures Submitted,2023-05-29,2023-06-04,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:43:00,Measures Submitted,2023-06-05,2023-06-11,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:42:00,Measures Submitted,2023-06-12,2023-06-18,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:42:00,Measures Submitted,2023-06-19,2023-06-25,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:42:00,Measures Submitted,2023-06-26,2023-07-02,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:41:00,Measures Submitted,2023-07-03,2023-07-09,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:41:00,Measures Submitted,2023-07-10,2023-07-16,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:40:00,Measures Submitted,2023-07-17,2023-07-23,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:39:00,Measures Submitted,2023-07-24,2023-07-30,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:38:00,Measures Submitted,2023-07-31,2023-08-06,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:38:00,Measures Submitted,2023-08-07,2023-08-13,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:37:00,Measures Submitted,2023-08-14,2023-08-20,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:37:00,Measures Submitted,2023-08-21,2023-08-27,0,0,0,0,0,0,0,0,0,No
100177,Cape Canaveral Hospital,2023-09-14 10:36:00,Measures Submitted,2023-08-28,2023-09-03,0,0,0,0,0,0,0,0,0,No
500108,St Joseph Medical Center,2023-09-14 09:06:00,Measures Submitted,2023-09-04,2023-09-10,1,0,0,0,0,0,0,0,0,Yes
490024,Roanoke Memorial Hospital,2023-09-14 08:41:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220060,Beth Israel Deaconess Hospital-Plymouth Inc.,2023-09-13 21:00:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220083,Beth Israel Deaconess Hospital-Needham Inc.,2023-09-13 20:59:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220108,Beth Israel Deaconess Hospital-Milton Inc.,2023-09-13 20:58:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220086,Beth Israel Deaconess Medical Center Inc.,2023-09-13 20:58:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220088,New England Baptist Hospital,2023-09-13 20:57:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220002,Mount Auburn Hospital,2023-09-13 20:56:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220029,Anna Jaques Hospital,2023-09-13 20:56:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220105,Winchester Hospital,2023-09-13 20:55:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220033,Northeast Hospital Corporation dba Beverly Hospital,2023-09-13 20:54:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220171,Lahey Hospital and Medical Center,2023-09-13 20:51:00,Measures Submitted,2023-09-04,2023-09-10,5,0,0,0,0,0,2,0,0,Yes
220035,Salem Hospital,2023-09-13 20:09:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
380009,Oregon Health and Science University,2023-09-13 18:56:00,Measures Submitted,2023-09-04,2023-09-10,2,1,0,0,0,0,0,0,0,Yes
380060,Portland Adventist Medical Center dba Adventist Health Portland,2023-09-13 18:37:00,Measures Submitted,2023-09-04,2023-09-10,1,0,0,0,0,0,0,0,0,Yes
220119,Brigham and Women's Faulkner Hospital,2023-09-13 18:13:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220101,Newton-Wellesley Hospital,2023-09-13 18:12:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
440048,Baptist Memorial Hospital,2023-09-13 18:00:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
520098,University of WI Hospitals and Clinics Authority,2023-09-13 17:23:00,Measures Submitted,2023-09-04,2023-09-10,2,1,1,0,0,0,0,0,0,Yes
30103,Mayo Clinic Arizona DBA Mayo Clinic Hospital,2023-09-13 16:53:00,Measures Submitted,2023-09-04,2023-09-10,3,0,0,0,0,0,0,0,0,Yes
50348,UCI Health,2023-09-13 16:33:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
220163,Umass Memorial Medical Center,2023-09-13 14:06:00,Measures Submitted,2023-09-04,2023-09-10,4,2,0,0,0,0,0,0,0,Yes
450647,Medical City Dallas,2023-09-13 13:46:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
420110,Roper St. Francis Berkeley Hospital,2023-09-13 12:49:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
420104,Roper St. Francis Mount Pleasant Hospital,2023-09-13 12:49:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
420065,Bon Secours St. Francis Xavier Hospital,2023-09-13 12:48:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,Yes
420087,Roper Hospital,2023-09-13 12:47:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
80001,ChristianaCare Hospital,2023-09-13 11:40:00,Measures Submitted,2023-09-04,2023-09-10,9,0,0,0,0,0,0,0,0,Yes
310061,Virtua Willingboro Hospital,2023-09-13 11:20:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
310029,Virtua Our Lady of Lourdes Hospital,2023-09-13 11:19:00,Measures Submitted,2023-09-04,2023-09-10,1,0,0,0,0,0,0,0,0,Yes
310057,Virtua Memorial Hospital of Burlington County,2023-09-13 11:18:00,Measures Submitted,2023-09-04,2023-09-10,2,0,0,0,0,0,0,0,0,Yes
310022,Virtua West Jersey Health System,2023-09-13 11:16:00,Measures Submitted,2023-09-04,2023-09-10,4,0,0,0,0,0,1,0,0,No
450563,Baylor Scott and White Medical Center-Grapevine,2023-09-13 11:15:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
370008,Norman Regional Hospital Authority,2023-09-13 10:14:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
100019,Holmes Regional Medical Center,2023-09-13 09:32:00,Measures Submitted,2023-09-04,2023-09-10,1,0,0,0,0,0,0,0,0,Yes
390032,Allegheny Valley Hospital,2023-09-13 09:31:00,Measures Submitted,2023-08-28,2023-09-03,0,0,0,0,0,0,0,0,0,No
10033,UAB Hospital,2023-09-13 09:30:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
390032,Allegheny Valley Hospital,2023-09-13 09:30:00,Measures Submitted,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0,No
