Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
WakeMed Health and Hospitals- Raleigh,0,0,0,0,0,0,0,0,0,No,340069,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2023-06-01 - 2023-06-30,Sep/11/2023 1:05 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,0,0,0,0,0,0,0,0,0,No,340173,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2023-06-01 - 2023-06-30,Sep/11/2023 1:03 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2023-07-01 - 2023-07-31,Sep/11/2023 8:04 AM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2023-08-01 - 2023-08-31,Sep/11/2023 8:03 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 4:35 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 4:34 PM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 4:33 PM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 4:33 PM,Measures Submitted
Massachusetts General Hospital,36,11,3,0,0,0,1,1,0,Yes,220071,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 2:41 PM,Measures Submitted
UnityPoint Health System,2,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 10:18 AM,Measures Submitted
Mayo Clinic Florida,53,3,2,0,0,0,8,1,0,Yes,100151,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,High,ess_service_account,Mayo Clinic Florida: Measures for 2023-08-01 - 2023-08-31,Sep/07/2023 9:37 AM,Measures Submitted
Brigham and Women's Hospital,29,9,4,0,0,0,2,0,0,Yes,220110,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 5:19 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,15,3,3,0,0,0,0,0,0,Yes,520070,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:54 AM,Measures Submitted
