ccn,hospital_name,hospital_address_1,hospital_address_2,hospital_city,hospital_state,hospital_zip,created,status,hospital_phone,resp_agree_to_committee,resp_agree_to_limits,resp_agree_to_metrics,resp_agree_to_process,resp_can_provide,resp_min_response_times,resp_min_visit_freq,resp_provided_25,additional_information,ij_review,issue_type,reporter,summary
100075,St Joeseph's Hospital ,3001 West MLK Jr. Blvd,,Tampa,FL,33607,2023-08-02 12:26:00,IJ Review,(813) 870-4200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 100075: Acute Hospital Care at Home Waiver Request
140233,Saint Anthony Medical Center,5666 E. State St.,,Rockford,IL,61108,2023-06-16 12:30:00,No Action Needed,(815) 226-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"OSF Healthcare System is currently providing hospital at home services via the waiver at Saint Francis Medical Center in Peoria, IL.  This program will be expanded to Saint Anthony Medical Center in Rockford utilizing our central command center and following the same standards of care, policies and procedures to ensure high quality care and exceptional patient outcomes.","{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 140233: Acute Hospital Care at Home Waiver Request
380103,Kaiser Foundation Westside,2875 NE Stucki,,Hillsboro,OR,97124,2023-04-18 14:57:00,No Action Needed,503-813-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 380103: Acute Hospital Care at Home Waiver Request
380091,Kaiser Sunnyside Medical Center,10180 SE Sunnyside Road,,Clackamas,OR,97015,2023-04-18 14:50:00,No Action Needed,503-813-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 380091: Acute Hospital Care at Home Waiver Request
340113,Carolinas Medical Center,1000 Blythe Blvd,,Charlotte,NC,28203,2023-03-31 10:43:00,IJ Review,7043552000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Our adult team has been running a hospital at home service for quite some time now, and we are working to use their program on the children's hospital side to start a pediatric hospital at home program. Though we have a small number of medicare patients, we will be working with state medicaid to try and get reimbursement for the majority of our patients who fall in this category.","{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340113: Acute Hospital Care at Home Waiver Request
360137,University Hospitals Cleveland Medical Center,11100 Euclid Ave.,,Cleveland,OH,44106,2023-01-26 09:16:00,No Action Needed,216-844-3722,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 360137: Acute Hospital Care at Home Waiver Request
370020,Mercy Hospital Ada,430 N. Monte Vista Street,,Ada,OK,74820,2022-12-22 15:47:00,IJ Review,580-421-1412,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 370020: Acute Hospital Care at Home Waiver Request
260052,Mercy Hospital Washington,901 E. 5th Street,,Washington,MO,63090,2022-12-22 15:38:00,IJ Review,636-528-3329,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260052: Acute Hospital Care at Home Waiver Request
260023,Mercy Hospital Jefferson,Highway 61 South,PO Box 350,Crystal City,MO,63019,2022-12-22 15:31:00,IJ Review,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260023: Acute Hospital Care at Home Waiver Request
260059,Mercy Hospital Lebanon,100 Hospital Drive,,Lebanon,MO,65536,2022-12-22 15:21:00,IJ Review,417-533-6100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260059: Acute Hospital Care at Home Waiver Request
370013,Mercy Hospital Oklahoma City,4300 West Memorial Road,,Oklahoma City,OK,73120,2022-12-22 15:11:00,IJ Review,405-752-3495,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 370013: Acute Hospital Care at Home Waiver Request
370049,Mercy Hospital Ardmore,1011 14th Avenue N.W.,,Ardmore,OK,73401,2022-12-22 15:05:00,IJ Review,580-220-6620,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 370049: Acute Hospital Care at Home Waiver Request
